course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
The Complete SQL Bootcamp 2022: Go from Zero to Hero,762616,4.67,587707,152352,9 hours,English,Paid,Jose Portilla,9685726,1,83,2016-04-06,2022-05-10,3499.0,449.0,All Levels,Business,SQL,Yes,Become an expert at SQL!,https://www.udemy.com/course/the-complete-sql-bootcamp/,https://img-b.udemycdn.com/course/750x422/762616_7693_3.jpg
PMP Exam Prep Seminar - Complete Exam Coverage with 35 PDUs,1361790,4.64,276044,87884,30 hours,English,Paid,Joseph Phillips,8912846,1,380,2017-11-14,2022-11-07,3499.0,449.0,All Levels,Business,PMI PMBOK,Yes,PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,https://www.udemy.com/course/pmp-pmbok6-35-pdus/,https://img-b.udemycdn.com/course/750x422/1361790_2eb7_2.jpg
Tableau 2022 A-Z: Hands-On Tableau Training for Data Science,937678,4.61,321136,84837,8.5 hours,English,Paid,Kirill Eremenko and Ligency I Team and Ligency Team,"2364054, 27129696, 150405524",3,81,2016-08-23,2022-11-07,3499.0,449.0,All Levels,Business,Tableau,Yes,Learn Tableau 2022 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,https://www.udemy.com/course/tableau10/,https://img-b.udemycdn.com/course/750x422/937678_abd2_3.jpg
Microsoft Power BI Desktop for Business Intelligence,1570206,4.63,274227,73681,11 hours,English,Paid,Maven Analytics and Chris Dutton,"75004102, 12951804",2,117,2018-04-26,2022-10-25,3499.0,449.0,All Levels,Business,Microsoft Power BI,Yes,Master Power BI Desktop & learn advanced Power BI analysis & data visualization w/ a top Microsoft Power BI instructor,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,https://img-b.udemycdn.com/course/750x422/1570206_26c6_5.jpg
Agile Crash Course: Agile Project Management; Agile Delivery,864146,4.51,207220,71595,2.5 hours,English,Paid,Mauricio Rubio - Agile Guru & Founder of AgileKB | AgileLee & Ureducation and Yesi Education,"9413444, 200064230",2,24,2016-06-23,2022-11-02,5200.0,649.0,Beginner Level,Business,Agile,No,Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum),https://www.udemy.com/course/agile-crash-course/,https://img-b.udemycdn.com/course/750x422/864146_dbd7_10.jpg
Microsoft Power BI - The Practical Guide [2023 EDITION],1208634,4.61,240901,61659,18 hours,English,Paid,Manuel Lorenz and Academind by Maximilian Schwarzmüller and Maximilian Schwarzmüller,"30035496, 31926668, 13952972",3,203,2017-05-15,2022-11-02,3499.0,449.0,Beginner Level,Business,Microsoft Power BI,No,"Learn how to use Microsoft Power BI with Power BI Desktop, Power BI Pro (Service) and Power BI Mobile",https://www.udemy.com/course/powerbi-complete-introduction/,https://img-b.udemycdn.com/course/750x422/1208634_cd50_2.jpg
Write Better Emails: Tactics for Smarter Team Communication,946654,4.57,161726,55209,1.5 hours,English,Paid,Hassan Osman,2234938,1,23,2017-04-15,2022-09-28,1699.0,449.0,All Levels,Business,Communication Skills,Yes,How to improve your email writing skills to save time & improve communication with your team; easy business writing tips,https://www.udemy.com/course/write-better-emails/,https://img-b.udemycdn.com/course/750x422/946654_dbfb_3.jpg
Leadership: Practical Leadership Skills,613808,4.62,158640,55074,3 hours,English,Paid,Chris Croft,12250180,1,43,2015-10-09,2022-03-24,3199.0,449.0,All Levels,Business,Leadership,Yes,Master leadership skills and leadership techniques with this highly practical advice and training,https://www.udemy.com/course/practical-leadership/,https://img-b.udemycdn.com/course/750x422/613808_3c1c_6.jpg
An Entire MBA in 1 Course:Award Winning Business School Prof,637930,4.57,450324,53676,8 hours,English,Paid,Chris Haroun,14942868,1,84,2016-01-11,2022-08-11,3499.0,449.0,All Levels,Business,Business Fundamentals,Yes,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/,https://img-b.udemycdn.com/course/750x422/637930_9a22_19.jpg
Become a Product Manager | Learn the Skills & Get the Job,673654,4.59,195421,46533,13 hours,English,Paid,Cole Mercer and Evan Kimbrell,"797726, 18187",2,144,2016-03-17,2022-10-20,3499.0,449.0,All Levels,Business,Product Management,Yes,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/,https://img-b.udemycdn.com/course/750x422/673654_d677_7.jpg
