course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
The Ultimate Drawing Course - Beginner to Advanced,874012,4.62,492483,115874,11 hours,English,Paid,Jaysen Batchelor and Quinton Batchelor,"17082766, 32143518",2,64,2017-01-23,2022-03-16,3499.0,449.0,Beginner Level,Design,Drawing,Yes,"Learn the #1 most important building block of all art, Drawing. This course will teach you how to draw like a pro!",https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/874012_c7f2_3.jpg
Character Art School: Complete Character Drawing,1259404,4.62,279769,61542,26.5 hours,English,Paid,"Scott Harris • 450,000+ Enrolments",9055848,1,115,2017-06-20,2022-10-17,3499.0,449.0,Beginner Level,Design,Character Design,Yes,"Learn How to Draw Characters Professionally, in the Ultimate Drawing Course - For Games, Manga, Animation and Comics",https://www.udemy.com/course/character-art-school-complete-character-drawing/,https://img-c.udemycdn.com/course/750x422/1259404_72d4_21.jpg
Complete Blender Creator: Learn 3D Modelling for Beginners,438522,4.68,280272,54871,48.5 hours,English,Paid,GameDev.tv Team and Rick Davidson and Grant Abbitt,"33027212, 24317920, 27282282",3,339,2015-05-05,2022-11-04,3499.0,449.0,All Levels,Design,Blender,Yes,"Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course",https://www.udemy.com/course/blendertutorial/,https://img-c.udemycdn.com/course/750x422/438522_500f_7.jpg
Design Thinking in 3 Steps,1065056,4.38,105807,47599,1.5 hours,English,Paid,Designit Strategic Design and Alan Cooper,"27681436, 30777482",2,55,2017-04-03,2020-06-22,7500.0,7500.0,All Levels,Design,Design Thinking,Yes,"Understand your audience, envision a creative solution, and test your prototype",https://www.udemy.com/course/designit-design-thinking/,https://img-c.udemycdn.com/course/750x422/1065056_41ed_5.jpg
Graphic Design Masterclass - Learn GREAT Design,1643044,4.67,175765,45088,28.5 hours,English,Paid,Lindsay Marsh,16146540,1,222,2018-04-12,2022-08-29,3499.0,449.0,Beginner Level,Design,Graphic Design,Yes,"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,https://img-c.udemycdn.com/course/750x422/1643044_e281.jpg
User Experience Design Essentials - Adobe XD UI UX Design,1452908,4.64,169498,42282,9.5 hours,English,Paid,Daniel Walter Scott,11614232,1,84,2017-12-05,2022-08-29,3499.0,449.0,All Levels,Design,User Experience Design,Yes,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,https://img-c.udemycdn.com/course/750x422/1452908_8741_4.jpg
Illustrator 2022 MasterClass,1197206,4.64,145228,32015,13.5 hours,English,Paid,Martin Perhiniak,713757,1,114,2017-05-02,2021-10-27,3499.0,449.0,All Levels,Design,Adobe Illustrator,No,Master Adobe Illustrator with this in-depth training for all levels.,https://www.udemy.com/course/illustrator-cc-masterclass/,https://img-c.udemycdn.com/course/750x422/1197206_7201_4.jpg
Adobe After Effects: Complete Course from Novice to Expert,627730,4.65,147808,29647,35 hours,English,Paid,Louay Zambarakji,15601054,1,447,2015-11-02,2022-10-18,3499.0,449.0,All Levels,Design,After Effects,Yes,"Adobe After Effects CC Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with 50+ practice projects.",https://www.udemy.com/course/after-effects-kinetic-typography/,https://img-c.udemycdn.com/course/750x422/627730_83d0_33.jpg
Adobe Photoshop CC – Essentials Training Course,1747782,4.73,108898,27947,11 hours,English,Paid,Daniel Walter Scott,11614232,1,90,2018-06-15,2022-04-25,3499.0,449.0,Beginner Level,Design,Photoshop,Yes,This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,https://img-c.udemycdn.com/course/750x422/1747782_399b_3.jpg
Ultimate Adobe Photoshop Training: From Beginner to Pro 2022,1046722,4.72,154937,27100,15.5 hours,English,Paid,Cristian Doru Barin,342181,1,193,2017-01-12,2022-10-03,3499.0,449.0,All Levels,Design,Photoshop,No,Master Adobe Photoshop CC 2022 without any previous knowledge with this easy-to-follow course,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/,https://img-c.udemycdn.com/course/750x422/1046722_cbd7_6.jpg
Wordpress for Beginners - Master Wordpress Quickly,355212,4.63,106160,25239,9.5 hours,English,Paid,Andrew Williams,4851584,1,109,2014-12-15,2022-10-15,3499.0,449.0,Beginner Level,Design,WordPress,Yes,"In 2022, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.",https://www.udemy.com/course/wordpress-for-beginners-course/,https://img-c.udemycdn.com/course/750x422/355212_948a_10.jpg
Adobe Illustrator CC - Essentials Training Course,1514258,4.73,91366,22561,9.5 hours,English,Paid,Video School and Phil Ebiner and Daniel Walter Scott,"19701574, 317821, 11614232",3,46,2018-02-24,2022-04-25,3499.0,449.0,Beginner Level,Design,Adobe Illustrator,Yes,"Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!",https://www.udemy.com/course/adobe-illustrator-course/,https://img-c.udemycdn.com/course/750x422/1514258_3768_3.jpg
