course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
2022 Complete Python Bootcamp From Zero to Hero in Python,567828,4.6,1630774,440669,22 hours,English,Paid,Jose Portilla,9685726,1,155,2015-10-12,2021-03-14,3499.0,449.0,All Levels,Development,Python,No,Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,https://www.udemy.com/course/complete-python-bootcamp/,https://img-c.udemycdn.com/course/750x422/567828_67d0.jpg
The Web Developer Bootcamp 2022,625204,4.71,830934,248648,64 hours,English,Paid,Colt Steele,4466306,1,615,2015-11-02,2022-07-01,3499.0,449.0,All Levels,Development,Web Development,No,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",https://www.udemy.com/course/the-web-developer-bootcamp/,https://img-c.udemycdn.com/course/750x422/625204_436a_3.jpg
The Complete 2022 Web Development Bootcamp,1565838,4.69,796267,235312,65.5 hours,English,Paid,Dr. Angela Yu,31334738,1,490,2018-10-25,2022-05-09,3499.0,449.0,All Levels,Development,Web Development,Yes,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",https://www.udemy.com/course/the-complete-web-development-bootcamp/,https://img-c.udemycdn.com/course/750x422/1565838_e54e_16.jpg
Angular - The Complete Guide (2023 Edition),756150,4.61,634755,174703,34.5 hours,English,Paid,Maximilian Schwarzmüller,13952972,1,472,2016-02-11,2022-11-02,3499.0,449.0,All Levels,Development,Angular,Yes,"Master Angular 14 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",https://www.udemy.com/course/the-complete-guide-to-angular-2/,https://img-c.udemycdn.com/course/750x422/756150_c033_2.jpg
Java Programming Masterclass covering Java 11 & Java 17,533682,4.52,728395,171930,80.5 hours,English,Paid,Tim Buchalka and Tim Buchalka's Learn Programming Academy,"599932, 35101150",2,401,2015-07-21,2022-10-25,3499.0,449.0,All Levels,Development,Java,Yes,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,https://www.udemy.com/course/java-the-complete-java-developer-course/,https://img-c.udemycdn.com/course/750x422/533682_c10c_4.jpg
"React - The Complete Guide (incl Hooks, React Router, Redux)",1362070,4.64,650961,166336,49.5 hours,English,Paid,Academind by Maximilian Schwarzmüller and Maximilian Schwarzmüller,"31926668, 13952972",2,495,2017-10-24,2022-11-02,3499.0,449.0,All Levels,Development,React JS,Yes,"Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",https://www.udemy.com/course/react-the-complete-guide-incl-redux/,https://img-c.udemycdn.com/course/750x422/1362070_b9a1_2.jpg
Machine Learning A-Z™: Hands-On Python & R In Data Science,950390,4.56,901135,163166,43.5 hours,English,Paid,Kirill Eremenko and Hadelin de Ponteves and Ligency I Team and Ligency Team,"2364054, 22113450, 27129696, 150405524",4,301,2016-09-13,2022-11-08,3499.0,449.0,All Levels,Development,Python,No,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,https://www.udemy.com/course/machinelearning/,https://img-c.udemycdn.com/course/750x422/950390_270f_3.jpg
The Complete JavaScript Course 2023: From Zero to Expert!,851712,4.72,700149,156238,69 hours,English,Paid,Jonas Schmedtmann,7799204,1,320,2016-10-14,2022-11-07,3499.0,449.0,All Levels,Development,JavaScript,Yes,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",https://www.udemy.com/course/the-complete-javascript-course/,https://img-c.udemycdn.com/course/750x422/851712_fc61_6.jpg
100 Days of Code: The Complete Python Pro Bootcamp for 2022,2776760,4.71,663768,150490,64 hours,English,Paid,Dr. Angela Yu,31334738,1,676,2020-10-30,2022-11-03,3499.0,449.0,All Levels,Development,Python,Yes,"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",https://www.udemy.com/course/100-days-of-code/,https://img-c.udemycdn.com/course/750x422/2776760_f176_10.jpg
Python for Data Science and Machine Learning Bootcamp,903744,4.61,589035,122585,25 hours,English,Paid,Jose Portilla,9685726,1,165,2016-09-18,2020-05-03,3499.0,449.0,All Levels,Development,Python,Yes,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,https://img-c.udemycdn.com/course/750x422/903744_8eb2.jpg
