course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
The Complete Financial Analyst Course 2022,648826,4.62,360210,70783,20.5 hours,English,Paid,365 Careers,8280056,1,344,2016-01-21,2022-10-12,3499.0,449.0,All Levels,Finance & Accounting,Financial Analysis,Yes,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",https://www.udemy.com/course/the-complete-financial-analyst-course/,https://img-c.udemycdn.com/course/750x422/648826_f0e5_4.jpg
The Complete Foundation Stock Trading Course,1288044,4.57,189215,46488,9.5 hours,English,Paid,Mohsen Hassan and bloom team,"33900490, 78215910",2,41,2017-08-25,2022-04-11,3499.0,449.0,All Levels,Finance & Accounting,Stock Trading,Yes,"Learn To Trade The Stock Market. #1 Trading course. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++",https://www.udemy.com/course/foundation-course/,https://img-c.udemycdn.com/course/750x422/1288044_d262_5.jpg
Beginner to Pro in Excel: Financial Modeling and Valuation,321410,4.6,183692,43203,16.5 hours,English,Paid,365 Careers,8280056,1,299,2014-11-25,2022-11-02,3499.0,449.0,All Levels,Finance & Accounting,Financial Modeling,Yes,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,https://img-c.udemycdn.com/course/750x422/321410_d9c5_4.jpg
Blockchain and Bitcoin Fundamentals,1151036,4.62,112233,36490,3 hours,English,Paid,George Levy,15387126,1,40,2017-03-26,2022-11-08,3299.0,449.0,Beginner Level,IT & Software,Bitcoin,Yes,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/,https://img-c.udemycdn.com/course/750x422/1151036_64b6_6.jpg
Investing In Stocks  The Complete Course! (14 Hour),964680,4.47,176708,32829,14.5 hours,English,Paid,"Steve Ballinger, MBA",10634862,1,120,2016-09-26,2022-11-02,3499.0,449.0,All Levels,Finance & Accounting,Stock Trading,Yes,Master Stock Market Investing & Trading in the Stock Market. Top Instructor & Millionaire Investor. Investing & Trading,https://www.udemy.com/course/investing-in-stocks/,https://img-c.udemycdn.com/course/750x422/964680_b329_4.jpg
The Complete Investment Banking Course 2022,965832,4.55,133343,31034,11 hours,English,Paid,365 Careers,8280056,1,176,2016-10-10,2022-11-02,3499.0,449.0,All Levels,Finance & Accounting,Investment Banking,Yes,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything  is included!",https://www.udemy.com/course/the-complete-investment-banking-course-2016/,https://img-c.udemycdn.com/course/750x422/965832_212f_4.jpg
The Complete Financial Analyst Training & Investing Course,1202988,4.59,242291,29551,22.5 hours,English,Paid,Chris Haroun,14942868,1,226,2017-08-17,2022-08-11,5900.0,799.0,All Levels,Finance & Accounting,Financial Analysis,No,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,https://img-c.udemycdn.com/course/750x422/1202988_c73f_20.jpg
"Introduction to Finance, Accounting, Modeling and Valuation",888716,4.53,183792,27408,4.5 hours,English,Paid,Chris Haroun,14942868,1,62,2016-06-28,2022-10-26,3499.0,449.0,All Levels,Finance & Accounting,Accounting,Yes,"Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,https://img-c.udemycdn.com/course/750x422/888716_4225_8.jpg
Python for Finance: Investment Fundamentals & Data Analytics,1035472,4.59,120339,25187,9 hours,English,Paid,365 Careers,8280056,1,133,2017-03-30,2022-08-10,5200.0,649.0,All Levels,Finance & Accounting,Python,Yes,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,https://img-c.udemycdn.com/course/750x422/1035472_23ce_5.jpg
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,308690,4.5,81042,20644,5.5 hours,English,Paid,Kirill Eremenko and ForexBoat Team,"2364054, 24059364",2,55,2014-12-12,2022-10-25,3499.0,449.0,Beginner Level,Finance & Accounting,Forex,No,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,https://www.udemy.com/course/forex-trading/,https://img-c.udemycdn.com/course/750x422/308690_6e17_6.jpg
Cryptocurrency Investment Course 2022: Fund your Retirement!,1223900,4.55,92145,20066,16.5 hours,English,Paid,Suppoman ™,9150270,1,162,2017-06-01,2022-08-18,3499.0,449.0,All Levels,Finance & Accounting,Cryptocurrency,No,"Complete A-Z Guide to Bitcoin, Blockchain, Ethereum, Altcoins, Metaverse, NFT, Web3 & DeFi coins for your retirement!",https://www.udemy.com/course/cryptocurrency/,https://img-c.udemycdn.com/course/750x422/1223900_3e21_4.jpg
Technical Analysis MasterClass:Trading By Technical Analysis,1255136,4.45,97751,19139,7.5 hours,English,Paid,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ) and Jyoti Bansal Analysis","33118476, 96646322",2,74,2017-07-21,2022-06-19,5200.0,649.0,All Levels,Finance & Accounting,Technical Analysis (finance),Yes,"Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS",https://www.udemy.com/course/technical_analysis/,https://img-c.udemycdn.com/course/750x422/1255136_1bf6_14.jpg
The Complete Cryptocurrency Course: More than 5 Courses in 1,1623098,4.6,147640,16191,24 hours,English,Paid,Chris Haroun,14942868,1,218,2018-06-30,2022-08-11,3499.0,449.0,All Levels,Finance & Accounting,Cryptocurrency,Yes,"Learn everything you need to know about cryptocurrency and blockchain, including investing, mining and much more!",https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/,https://img-c.udemycdn.com/course/750x422/1623098_9971_12.jpg
The Complete Foundation FOREX Trading Course,2327156,4.6,42666,13178,8.5 hours,English,Paid,Mohsen Hassan and bloom team,"33900490, 78215910",2,76,2019-06-27,2022-04-11,3499.0,449.0,All Levels,Finance & Accounting,Forex,Yes,"Learn To Trade The FOREX Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Live Trading + much more",https://www.udemy.com/course/the-complete-foundation-forex-trading-course/,https://img-c.udemycdn.com/course/750x422/2327156_4c2c_6.jpg
