course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Cognitive Behavioural Therapy (CBT) Practitioner Course,1091520,4.57,150494,32273,31.5 hours,English,Paid,Kain Ramsay and The Academy of Modern Applied Psychology,"3890126, 50670208",2,121,2017-05-31,2022-10-17,3499.0,449.0,All Levels,Health & Fitness,CBT Cognitive Behavioral Therapy,Yes,Become a Certified Cognitive Behavioural Therapy (CBT) Practitioner and elevate your understanding of human behaviour.,https://www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/,https://img-c.udemycdn.com/course/750x422/1091520_9b90_11.jpg
Therapeutic Art Life Coach Certification  (Accredited),1746608,4.44,48680,13029,3.5 hours,English,Paid,Joeel & Natalie Rivera and Victoria Hawkins and Transformation Services,"988786, 49882118, 62486662",3,42,2018-06-16,2022-11-03,3499.0,449.0,All Levels,Health & Fitness,Art Therapy,Yes,"Therapeutic Art: Help Clients Heal, Reduce Stress & Manifest Dreams with Mandalas, Affirmations, Vision Boards & More",https://www.udemy.com/course/art-therapy-life-coach-certification/,https://img-c.udemycdn.com/course/750x422/1746608_d226_4.jpg
Herbalism :: Introduction & Medicine Making Certificate,985790,4.75,60851,12135,4 hours,English,Paid,Elizabeth Heck,13395630,1,75,2016-10-27,2022-03-11,3499.0,449.0,All Levels,Health & Fitness,Herbalism,Yes,"Take charge of your health with herbal medicine. Using herbs and natural holistic medicine is easy, effective and safe.",https://www.udemy.com/course/herbalism-medicine-making/,https://img-c.udemycdn.com/course/750x422/985790_5813_2.jpg
Internationally Accredited Diploma Certificate in Nutrition,1504862,4.6,54422,10279,4.5 hours,English,Paid,Akash Sehrawat and Fabulous Body and Teaching Assistant,"22973584, 82467986, 82470196",3,75,2018-01-18,2021-11-19,3499.0,449.0,All Levels,Health & Fitness,Nutrition,No,Learn how to eat healthy and understand the fundamentals of nutrition science,https://www.udemy.com/course/internationally-accredited-diploma-certificate-in-nutrition/,https://img-c.udemycdn.com/course/750x422/1504862_475f_4.jpg
Flourishing in Stressful Times - with Tara Brach,1426094,4.38,22960,8513,2 hours,English,Paid,"Tara Brach, Ph.D.",24514132,1,22,2017-12-04,2021-08-07,1299.0,1299.0,All Levels,Health & Fitness,Stress Management,No,"Transform anger & anxiety into resilience & creative energy through the practice of compassion, mindfulness & meditation",https://www.udemy.com/course/flourishing-in-stressful-times-with-tara-brach/,https://img-c.udemycdn.com/course/750x422/1426094_79c4_2.jpg
15 Minutes x 15 Days Yoga Mobility Challenge,395170,4.56,18959,7818,4 hours,English,Paid,Abi Carver,353874,1,15,2015-01-22,2022-08-26,1499.0,449.0,Intermediate Level,Health & Fitness,Yoga,No,"Increase your flexibility and range of motion, energise your body and improve your yoga skills in 15 minutes a day.",https://www.udemy.com/course/yoga-mobility-challenge-15-minutes-x-15-days-66/,https://img-c.udemycdn.com/course/750x422/395170_6eda_3.jpg
Complete Fitness Trainer Certification: Beginner To Advanced,1754344,4.59,30798,7670,3 hours,English,Paid,Felix Harder,26801218,1,62,2018-06-27,2022-09-02,3499.0,449.0,All Levels,Health & Fitness,Fitness,Yes,"Become A Fitness Coach: Create Muscle Growth & Fat Loss Workouts, Build A Fitness Training Business & Be A Health Expert",https://www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/1754344_cbff.jpg
Diet And Nutrition Coach Certification: Beginner To Advanced,1815870,4.6,24776,6567,5 hours,English,Paid,Felix Harder,26801218,1,105,2018-08-27,2022-09-02,3499.0,449.0,All Levels,Health & Fitness,Nutrition,Yes,"Become A Nutrition Coach: Create Muscle Growth & Fat Loss Meal Plans, Build A Fitness Diet Business & Be A Health Expert",https://www.udemy.com/course/diet-nutrition-coach-certification-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/1815870_476b.jpg
Nutrition Masterclass: Build Your Perfect Diet & Meal Plan,1289968,4.59,39013,6193,4 hours,English,Paid,Felix Harder,26801218,1,94,2017-07-21,2022-09-02,3399.0,449.0,All Levels,Health & Fitness,Nutrition,Yes,"Learn The Truth About Nutrition, Dieting For Weight Loss, Building Muscle, Healthy Eating, Meal Planning, Fat Loss",https://www.udemy.com/course/nutrition-masterclass-build-your-perfect-diet-meal-plan/,https://img-c.udemycdn.com/course/750x422/1289968_6b08_2.jpg
"""Breath is Life"" Breathwork & Meditation course",2027448,4.63,30873,6172,18.5 hours,English,Paid,Michaël Bijker,52872604,1,80,2018-11-22,2022-05-31,3499.0,449.0,All Levels,Health & Fitness,Breathing Techniques,No,"Tap into the power of your breath and develop health, happiness and inner richness. A complete breathwork course.",https://www.udemy.com/course/breathing/,https://img-c.udemycdn.com/course/750x422/2027448_0785_6.jpg
