course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Ultimate AWS Certified Solutions Architect Associate SAA-C03,2196488,4.7,662679,152384,27.5 hours,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",16122994,1,386,2019-02-19,2022-11-08,3499.0,449.0,All Levels,IT & Software,AWS Certification,Yes,Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,https://img-b.udemycdn.com/course/750x422/2196488_8fc7_10.jpg
[NEW] Ultimate AWS Certified Cloud Practitioner - 2022,3142166,4.76,551125,115351,14.5 hours,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",16122994,1,270,2020-06-04,2022-11-01,3099.0,449.0,Beginner Level,IT & Software,Amazon AWS,Yes,Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C01 exam!,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,https://img-b.udemycdn.com/course/750x422/3142166_a637_3.jpg
Learn Ethical Hacking From Scratch,857010,4.62,527039,109722,16 hours,English,Paid,Zaid Sabih and z Security,"6956218, 41384972",2,146,2016-06-20,2022-10-18,3499.0,449.0,All Levels,IT & Software,Ethical Hacking,Yes,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,https://img-b.udemycdn.com/course/750x422/857010_8239_2.jpg
Ultimate AWS Certified Developer Associate 2022 - NEW!,1921420,4.7,374158,69047,32 hours,English,Paid,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",16122994,1,428,2018-09-19,2022-11-01,3499.0,449.0,All Levels,IT & Software,AWS Certification,Yes,Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C01.,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,https://img-b.udemycdn.com/course/750x422/1921420_384a_14.jpg
TOTAL: CompTIA A+ Certification (220-1001).,2359992,4.74,170711,68701,17.5 hours,English,Paid,Total Seminars • Over 1 Million Enrollments and Mike Meyers,"16569604, 16936698",2,132,2019-06-09,2022-09-30,3499.0,449.0,Beginner Level,IT & Software,CompTIA A+,Yes,"Course 1: Everything you need to pass the A+ Certification Core 1 (220-1001) Exam, from Mike Meyers and Total Seminars.",https://www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/,https://img-b.udemycdn.com/course/750x422/2359992_37e3_7.jpg
AZ-900: Microsoft Azure Fundamentals Exam Prep - OCT 2022,2394982,4.54,277073,68367,5.5 hours,English,Paid,Scott Duffy  • 800.000+ Students and Software Architect.ca,"58935, 54660548",2,61,2019-06-07,2022-10-29,2299.0,449.0,Beginner Level,IT & Software,Microsoft AZ-900,Yes,"Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!",https://www.udemy.com/course/az900-azure/,https://img-b.udemycdn.com/course/750x422/2394982_eaac_8.jpg
Kubernetes for the Absolute Beginners - Hands-on,1602900,4.63,216801,56747,6 hours,English,Paid,Mumshad Mannambeth and KodeKloud Training,"31303958, 61457358",2,61,2018-03-23,2022-10-06,3499.0,449.0,Beginner Level,IT & Software,Kubernetes,No,"Learn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.",https://www.udemy.com/course/learn-kubernetes/,https://img-b.udemycdn.com/course/750x422/1602900_f550_10.jpg
Microsoft Azure - Beginner's Guide + AZ-900 -  2022,1704776,4.51,192018,48362,14.5 hours,English,Paid,Alan Rodrigues,25858272,1,206,2018-05-28,2022-11-07,3499.0,449.0,Beginner Level,IT & Software,Microsoft AZ-900,No,Beginning your journey on Microsoft Azure,https://www.udemy.com/course/microsoft-azure-beginners-guide/,https://img-b.udemycdn.com/course/750x422/1704776_7b11_5.jpg
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,1203374,4.77,157634,48100,39 hours,English,Paid,Neil Anderson,31767132,1,312,2017-08-31,2022-11-03,799.0,449.0,Beginner Level,IT & Software,Cisco CCNA,Yes,"The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A",https://www.udemy.com/course/ccna-complete/,https://img-b.udemycdn.com/course/750x422/1203374_6d6f_3.jpg
Certified Kubernetes Administrator (CKA) with Practice Tests,2301254,4.71,206306,46586,22.5 hours,English,Paid,Mumshad Mannambeth and KodeKloud Training,"31303958, 61457358",2,274,2019-04-10,2022-10-30,3499.0,449.0,All Levels,IT & Software,Kubernetes,Yes,Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,https://img-b.udemycdn.com/course/750x422/2301254_26c8_6.jpg
