course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
"Reiki Level I, II and Master/Teacher Certification",59527,4.73,169627,50127,6 hours,English,Paid,Lisa Powers,779778,1,66,2013-10-03,2022-09-08,3499.0,449.0,All Levels,Lifestyle,Reiki,No,"Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",https://www.udemy.com/course/reikicourse/,https://img-c.udemycdn.com/course/750x422/59527_ac27_15.jpg
"Reiki Level I, II and Master Certification - Energy Healing",875612,4.79,92511,26185,4 hours,English,Paid,Melissa Crowhurst,23121946,1,99,2016-08-06,2022-09-27,3499.0,449.0,All Levels,Lifestyle,Energy Healing,Yes,"Become a Certified Usui Reiki Practitioner - Heal Yourself, Family, Friends, Clients, Pets and More with Energy Healing!",https://www.udemy.com/course/reiki-master-certification-energy-healing/,https://img-c.udemycdn.com/course/750x422/875612_0144_6.jpg
The Art & Science of Drawing / BASIC SKILLS,1045092,4.72,68308,12139,4.5 hours,English,Paid,Brent Eviston,27988174,1,17,2017-01-11,2020-03-23,1499.0,449.0,Beginner Level,Lifestyle,Drawing,Yes,Drawing is not a talent. It's a skill anyone can learn.,https://www.udemy.com/course/the-art-and-science-of-drawing/,https://img-c.udemycdn.com/course/750x422/1045092_8c2f_2.jpg
Tarot Card Success - The Complete Tarot Reading Course,554014,4.76,44260,11171,10 hours,English,Paid,Sal Jade,2443102,1,78,2015-08-31,2022-11-02,3399.0,449.0,All Levels,Lifestyle,Tarot Reading,Yes,TAROT CERTIFICATE COURSE! Master your Psychic Ability and Learn to Give Accurate Professional Level Tarot Card Readings,https://www.udemy.com/course/tarot-card-meaningshow-to-read-tarot-like-an-expert/,https://img-c.udemycdn.com/course/750x422/554014_2170_6.jpg
100% Official NLP Practitioner (Assoc) Cert iGNLP™ / ABNLP,1173854,4.51,37086,8493,30 hours,English,Paid,Matthew Barnett and HeadgearLabs™ Personal & Professional Development,"3485514, 143273536",2,279,2018-11-12,2022-09-16,3499.0,449.0,All Levels,Lifestyle,Neuro-Linguistic Programming,No,NLP Get the only Genuine 100%  iGNLP™ & ABNLP Accredited - NLP Practitioner Certification Recognised Globally,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-certification-abnlp/,https://img-c.udemycdn.com/course/750x422/1173854_8b3a_16.jpg
Crystal Reiki Master/Teacher Certification,1031706,4.69,40361,7886,2 hours,English,Paid,Lisa Powers,779778,1,38,2016-12-21,2021-07-26,3299.0,449.0,Expert Level,Lifestyle,Reiki,No,Step into your power and become a Certified Crystal Reiki Master,https://www.udemy.com/course/crystal-reiki/,https://img-c.udemycdn.com/course/750x422/1031706_32cc_2.jpg
Animal Reiki Practitioner Certification,790970,4.76,31497,7539,2 hours,English,Paid,Lisa Powers,779778,1,32,2016-04-04,2020-05-08,2299.0,449.0,All Levels,Lifestyle,Animal Reiki,Yes,Learn how to use Reiki energy to help animals,https://www.udemy.com/course/animal-reiki-certification/,https://img-c.udemycdn.com/course/750x422/790970_e1b1_2.jpg
Your 7 Chakras : The Complete Guide to Your Energy Body,764686,4.65,29981,7327,6.5 hours,English,Paid,James Seriph,17397082,1,109,2016-02-22,2022-10-27,3399.0,449.0,All Levels,Lifestyle,Energy Healing,No,"Understand Your Chakras, Your Energy Body, and Heal the Areas of your life that need it!",https://www.udemy.com/course/the-chakra-system-master-class/,https://img-c.udemycdn.com/course/750x422/764686_2a53_4.jpg
EFT  & TFT Tapping Practitioner Certification (ACCREDITED),1530834,4.73,38035,7026,6.5 hours,English,Paid,Graham Nicholls and The Priority Academy Ltd,"34229724, 66674624",2,51,2018-02-09,2022-11-04,3499.0,449.0,Beginner Level,Lifestyle,EFT (Emotional Freedom Techniques),Yes,EFT & TFT Tapping Practitioner Certification - Discover the power of EFT & TFT Tapping in this Certification Course,https://www.udemy.com/course/eft-tft-tapping-practitioner-certification-beginner-pro-eft/,https://img-c.udemycdn.com/course/750x422/1530834_705f_2.jpg
Counter-Strike: Global Offensive — Play Like a Pro,1768990,3.96,12942,6429,3.5 hours,English,Paid,Jordan Gilbert,43443774,1,51,2018-08-17,2021-12-21,799.0,799.0,All Levels,Lifestyle,eSports,No,"n0thing helps level up your CS:GO game sense, mechanics, strategies, and overall best practices for competitive play.",https://www.udemy.com/course/counter-strike-global-offensive-play-like-a-pro/,https://img-c.udemycdn.com/course/750x422/1768990_93bc_2.jpg
