course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
The Complete Digital Marketing Course - 12 Courses in 1,914296,4.52,710981,156016,22.5 hours,English,Paid,Rob Percival and Daragh Walsh and Codestars • over 2 million students worldwide!,"4387876, 1800590, 33231436",3,246,2016-08-02,2022-07-13,3499.0,449.0,All Levels,Marketing,Digital Marketing,Yes,"Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!",https://www.udemy.com/course/learn-digital-marketing-course/,https://img-c.udemycdn.com/course/750x422/914296_3670_8.jpg
Ultimate Google Ads Training 2021: Profit with Pay Per Click,671544,4.58,202934,49192,24.5 hours,English,Paid,Isaac Rudansky,17682090,1,136,2015-11-17,2021-10-05,3499.0,449.0,All Levels,Marketing,Google Ads (Adwords),Yes,Google Ads 2021: How our clients have transformed their sales using Google Ads & get your Google Ads certification!,https://www.udemy.com/course/the-ultimate-google-adwords-training-course/,https://img-c.udemycdn.com/course/750x422/671544_9613_5.jpg
Instagram Marketing 2022: Complete Guide To Instagram Growth,484606,4.48,176920,34126,7.5 hours,English,Paid,Benjamin Wilson and Entrepreneur Academy,"781155, 59566001",2,65,2015-11-10,2021-10-07,3499.0,449.0,All Levels,Marketing,Instagram Marketing,Yes,"Attract Hyper-Targeted Instagram Followers, Convert Followers to Paying Customers, & Expand your Brand Using Instagram",https://www.udemy.com/course/instagram-marketing-for-small-businesses/,https://img-c.udemycdn.com/course/750x422/484606_5721_16.jpg
Facebook Ads & Facebook Marketing MASTERY 2022 | Coursenvy ®,403314,4.54,203895,31214,12 hours,English,Paid,COURSE ENVY,10508972,1,75,2015-05-05,2022-11-07,3499.0,449.0,All Levels,Marketing,Facebook Marketing,Yes,"Facebook Marketing from beginner to advanced! Join 200,000+ students who MASTERED Facebook and are Facebook Ads experts!",https://www.udemy.com/course/facebook-ads-facebook-marketing-mastery-guide/,https://img-c.udemycdn.com/course/750x422/403314_b091_3.jpg
Digital Marketing Masterclass - 23 Marketing Courses in 1,1270870,4.47,230729,19988,42.5 hours,English,Paid,Phil Ebiner and Diego Davila • 700.000+ Students and Video School,"317821, 801404, 19701574",3,399,2017-08-15,2022-11-08,799.0,449.0,All Levels,Marketing,Digital Marketing,No,"Learn Social Media Marketing, Facebook Marketing, Content Marketing, YouTube Marketing, Email Marketing, SEO, Branding+",https://www.udemy.com/course/digital-marketing-masterclass/,https://img-c.udemycdn.com/course/750x422/1270870_8e95_14.jpg
Social Media Marketing MASTERY | Learn Ads on 10+ Platforms,573984,4.45,118995,18881,10.5 hours,English,Paid,COURSE ENVY,10508972,1,79,2015-12-23,2022-10-25,3499.0,449.0,All Levels,Marketing,Social Media Marketing,Yes,"MASTER online marketing on Twitter, Pinterest, Instagram, YouTube, Facebook, Google and more ad platforms! Coursenvy ®",https://www.udemy.com/course/social-media-marketing-ads/,https://img-c.udemycdn.com/course/750x422/573984_ce2a_3.jpg
The Complete Copywriting Course : Write to Sell Like a Pro,1575836,4.61,69657,18514,3 hours,English,Paid,Codestars • over 2 million students worldwide! and Tamsin Henderson and Rob Percival,"33231436, 5577822, 4387876",3,39,2018-03-18,2022-03-01,3499.0,449.0,All Levels,Marketing,Copywriting,Yes,"Write Effective Sales Copy & Grow Your Business & Career // Access Timeless Copywriting Formulas, Templates & FREE Tools",https://www.udemy.com/course/the-complete-copywriting-course/,https://img-c.udemycdn.com/course/750x422/1575836_367f_13.jpg
Google Analytics Certification Exam - How to Pass in One Day,328386,4.45,105327,16449,2.5 hours,English,Paid,Daragh Walsh,1800590,1,25,2016-01-22,2021-07-21,3499.0,449.0,All Levels,Marketing,Google Analytics,Yes,A Step-by-Step Guide to Pass the Google Analytics Certification Exam in One Day. No Experience Required!,https://www.udemy.com/course/google-analytics-certification/,https://img-c.udemycdn.com/course/750x422/328386_6809_11.jpg
SEO 2022: Complete SEO Training + SEO for WordPress Websites,740562,4.3,86398,15637,16 hours,English,Paid,Arun Nagarathanam and Teaching Assistant Trainer,"10515358, 57836042",2,145,2016-03-07,2022-10-22,3499.0,449.0,All Levels,Marketing,SEO,No,"Master Keyword Research, SEO Content writing, Technical, UX, Backlinks SEO, Link building, SEO training for WordPress",https://www.udemy.com/course/seo-get-to-number1-in-google-search/,https://img-c.udemycdn.com/course/750x422/740562_6eb8_11.jpg
SQL for NEWBS: Weekender Crash Course,203556,4.38,70101,14703,3.5 hours,English,Paid,A Course You'll Actually Finish and David Kim and Peter Sefton,"8364352, 430025, 199219202",3,33,2014-11-21,2022-09-01,3499.0,449.0,All Levels,Business,SQL,No,"Data Analysis for Data Scientists, Marketers, & Business/Product folks. Using MySQL but appropriate for all SQL.",https://www.udemy.com/course/sql-for-newbs/,https://img-c.udemycdn.com/course/750x422/203556_5ff1_3.jpg
