course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Pianoforall - Incredible New Way To Learn Piano & Keyboard,238934,4.74,357776,42826,38.5 hours,English,Paid,Robin Hall,5753906,1,426,2014-08-07,2022-06-29,3499.0,449.0,All Levels,Music,Piano,Yes,"Learn Piano in WEEKS not years. Play-By-Ear & learn to Read Music. Pop, Blues, Jazz, Ballads, Improvisation, Classical",https://www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/,https://img-c.udemycdn.com/course/750x422/238934_4d81_7.jpg
Complete Guitar Lessons System - Beginner to Advanced,42271,4.64,259548,37117,40 hours,English,Paid,Erich Andreas,603974,1,340,2013-05-29,2022-03-09,3499.0,449.0,All Levels,Music,Guitar,Yes,"All-in-one Guitar Course, Fingerstyle Guitar, Blues Guitar, Acoustic Guitar, Electric Guitar & Fingerpicking Guitarra",https://www.udemy.com/course/complete-guitar-system-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/42271_886a_9.jpg
"Music Theory Comprehensive Complete! (Parts 1, 2, & 3)",882594,4.71,95852,18675,12.5 hours,English,Paid,Jason Allen,913001,1,157,2016-06-21,2022-04-12,3899.0,649.0,Beginner Level,Music,Music Theory,Yes,"A Complete College-Level Music Theory Curriculum. This edition of the course includes levels 1, 2, & 3.",https://www.udemy.com/course/music-theory-complete/,https://img-c.udemycdn.com/course/750x422/882594_f8ec_4.jpg
Music + Audio Production in Logic Pro X - The Complete Guide,826876,4.51,51408,12360,40 hours,English,Paid,Make Pro Music,13762822,1,183,2016-05-23,2020-08-13,5200.0,649.0,All Levels,Music,Music Production,No,"Become a master at using Logic Pro X | Understand music production | Learn to record, edit & mix audio to a pro standard",https://www.udemy.com/course/music-production-in-logic-pro-x-course/,https://img-c.udemycdn.com/course/750x422/826876_4fd1_6.jpg
Music Production in Logic Pro X - The Complete Course!,897192,4.72,56596,11025,50.5 hours,English,Paid,Tomas George and Christopher Carvalho and Ian Alexander and Digital Music Masters,"23566298, 37215098, 49549822, 45765646",4,470,2016-08-03,2022-11-02,5200.0,649.0,All Levels,Music,Logic Pro,Yes,"Join Successful Music Production + Logic Pro X students in Creating, Recording, Mixing Music + Mastering in Logic Pro X",https://www.udemy.com/course/thecompletelogicprox/,https://img-c.udemycdn.com/course/750x422/897192_2cee_12.jpg
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3",1147828,4.64,41810,7913,12.5 hours,English,Paid,Jason Allen,913001,1,126,2017-03-18,2022-04-12,3899.0,649.0,Beginner Level,Music,Music Theory,Yes,"Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!",https://www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/,https://img-c.udemycdn.com/course/750x422/1147828_0474_3.jpg
FL Studio 20 - Music Production In FL Studio for Mac & PC,2018498,4.65,31612,6665,27 hours,English,Paid,Martin Svensson and Music-Prod Education,"7830052, 49660372",2,198,2018-11-22,2022-11-06,5200.0,649.0,All Levels,Music,FL Studio,Yes,"Music Production in FL Studio 20 - Make 3 Full Tracks - Manage FL Studio in Just One Day, Music, Mixing & Mastering",https://www.udemy.com/course/fl-studio/,https://img-c.udemycdn.com/course/750x422/2018498_268a.jpg
Ultimate Beginner Guitar Masterclass,1132342,4.77,82631,6604,15 hours,English,Paid,Henry Olsen,12277336,1,134,2017-05-15,2021-03-02,5200.0,649.0,Beginner Level,Music,Guitar,No,"Beginner Guitar Lessons: Learn Acoustic Guitar, Blues Guitar, Basic Fingerstyle Guitar, Guitar Chords, Guitar Technique",https://www.udemy.com/course/beginner-guitar-masterclass/,https://img-c.udemycdn.com/course/750x422/1132342_48ec_3.jpg
"Learn to play HARMONICA, the easiest instrument to pick up!",200598,4.52,39296,6459,23.5 hours,English,Paid,Ben Hewlett,2951312,1,244,2014-04-27,2022-03-28,5200.0,649.0,All Levels,Music,Harmonica,Yes,"Ultimate diatonic harmonica lessons, blues, country music, rock; you will learn how to play on/off stage, solo/group",https://www.udemy.com/course/benhewlettharmonicatuitionultimate-harmonica-course/,https://img-c.udemycdn.com/course/750x422/200598_16d5_11.jpg
The Professional Guitar Masterclass,456284,4.54,51610,5798,9.5 hours,English,Paid,Michael Palmisano,3761086,1,136,2015-04-28,2017-08-28,5200.0,649.0,All Levels,Music,Guitar,No,Learn The Tools Used By The World's Top Professional Guitar Players.,https://www.udemy.com/course/the-professional-guitar-masterclass/,https://img-c.udemycdn.com/course/750x422/456284_80ce_9.jpg
