course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Microsoft Excel - Excel from Beginner to Advanced,793796,4.68,1128914,337973,21 hours,English,Paid,Kyle Pew and Office Newb,"16649710, 98211038",2,254,2016-03-16,2022-10-31,3499.0,449.0,All Levels,Office Productivity,Excel,Yes,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365",https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,https://img-b.udemycdn.com/course/750x422/793796_0e89_2.jpg
Microsoft Excel - Advanced Excel Formulas & Functions,516446,4.66,307170,71290,9.5 hours,English,Paid,Maven Analytics and Chris Dutton,"75004102, 12951804",2,114,2015-08-21,2022-10-25,3499.0,449.0,All Levels,Office Productivity,Data Analysis,Yes,Master 75+ MS Excel formulas and learn data analysis with a top Microsoft Excel & business intelligence instructor,https://www.udemy.com/course/excel-for-analysts/,https://img-b.udemycdn.com/course/750x422/516446_4935_5.jpg
Microsoft Excel - Data Analysis with Excel Pivot Tables,977438,4.62,189872,43961,7 hours,English,Paid,Maven Analytics and Chris Dutton,"75004102, 12951804",2,90,2017-01-05,2022-10-25,3499.0,449.0,All Levels,Office Productivity,Excel,Yes,Master Excel pivots & learn data analysis w/ advanced Excel cases from a top Excel & business intelligence instructor,https://www.udemy.com/course/data-analysis-with-excel-pivot-tables/,https://img-b.udemycdn.com/course/750x422/977438_476d_10.jpg
Unlock Excel VBA and Excel Macros,1506888,4.7,164605,35395,22.5 hours,English,Paid,Leila Gharani,14088122,1,172,2018-04-17,2022-09-14,3499.0,449.0,All Levels,Office Productivity,Excel VBA,Yes,Automate Complex Tasks with Microsoft Excel VBA & Excel Macros (Real-World Projects included). Achieve More. Save time.,https://www.udemy.com/course/excel-vba-and-macros-course/,https://img-b.udemycdn.com/course/750x422/1506888_52b0_3.jpg
"Microsoft Excel - Data Visualization, Excel Charts & Graphs",636822,4.63,135057,34525,4.5 hours,English,Paid,Maven Analytics and Chris Dutton,"75004102, 12951804",2,59,2016-07-10,2022-10-25,3499.0,449.0,All Levels,Office Productivity,Excel,Yes,"Master 20+ Excel charts, build advanced Excel visuals & learn data analysis with a top Excel instructor (Excel 2016+)",https://www.udemy.com/course/advanced-excel-charts-graphs/,https://img-b.udemycdn.com/course/750x422/636822_bb3b_4.jpg
Microsoft Excel - From Beginner to Expert in 6 Hours,49250,4.58,131999,27594,6.5 hours,English,Paid,Todd McLeod,710121,1,82,2013-05-12,2022-04-20,999.0,449.0,All Levels,Office Productivity,Excel,No,This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2013 for Windows.,https://www.udemy.com/course/thebestexcel/,https://img-b.udemycdn.com/course/750x422/49250_a658_8.jpg
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3",948866,4.61,97915,25412,28 hours,English,Paid,Alan Jarvis,9772452,1,341,2016-09-11,2022-08-15,3499.0,449.0,All Levels,Office Productivity,Excel,No,"Excel: The WHOLE Excel Mastery Series In One! From Excel Novice To VBA Programmer - Excel 2013, 2016, 2019 & Excel 365",https://www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/,https://img-b.udemycdn.com/course/750x422/948866_3bcc_2.jpg
Master Microsoft Word Beginner to Advanced,1235430,4.61,85148,20313,7 hours,English,Paid,Kyle Pew and Office Newb,"16649710, 98211038",2,105,2017-07-28,2019-08-20,3499.0,449.0,All Levels,Office Productivity,Microsoft Word,Yes,"Master the most popular Word Processing tool, Microsoft Word. Microsoft Word 2010, Word 2013, Word 2016, Word 2019",https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/,https://img-b.udemycdn.com/course/750x422/1235430_7a1d_4.jpg
Master Microsoft Excel Macros and Excel VBA,690066,4.59,67906,19986,5.5 hours,English,Paid,Kyle Pew,16649710,1,64,2015-12-30,2018-02-01,2299.0,449.0,All Levels,Office Productivity,Excel VBA,Yes,Project Based Course on Excel VBA (Visual Basic for Applications) and Excel Macros,https://www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,https://img-b.udemycdn.com/course/750x422/690066_6b76_4.jpg
Microsoft Excel: Business Intelligence w/ Power Query & DAX,1137048,4.71,87693,18647,7.5 hours,English,Paid,Maven Analytics and Chris Dutton,"75004102, 12951804",2,87,2017-10-20,2022-10-25,3499.0,449.0,All Levels,Office Productivity,Power Pivot,Yes,"Learn advanced Excel for data analysis & business intelligence (Power Query, Power Pivot & DAX language. Excel 2013+)",https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,https://img-b.udemycdn.com/course/750x422/1137048_c1d7_4.jpg
Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,831116,4.55,76662,17337,9 hours,English,Paid,Srikanth Shirodkar,289469,1,124,2016-04-26,2021-09-23,3499.0,449.0,All Levels,Office Productivity,Microsoft Project,Yes,Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,https://www.udemy.com/course/microsoft-project-tutorial/,https://img-b.udemycdn.com/course/750x422/831116_92e7_2.jpg
SAP Simplified for Absolute Beginners,826870,4.52,49183,15840,2.5 hours,English,Paid,Ulrika Garner,165606,1,31,2016-05-08,2020-05-29,2799.0,449.0,Beginner Level,Office Productivity,SAP,No,Easy to follow Introduction into SAP ERP,https://www.udemy.com/course/sap-simplified-for-absolute-beginners/,https://img-b.udemycdn.com/course/750x422/826870_0677_2.jpg
Visually Effective Excel Dashboards,1122362,4.71,75823,15772,11 hours,English,Paid,Leila Gharani,14088122,1,106,2017-05-29,2022-09-14,3499.0,449.0,All Levels,Office Productivity,Excel Dashboard,Yes,Actionable Excel Tips (Templates Included) You Can Use Right Now to Create Eye-Catching Microsoft Excel Dashboards,https://www.udemy.com/course/excel-dashboards-reports/,https://img-b.udemycdn.com/course/750x422/1122362_6b47_4.jpg
