course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Productivity and Time Management for the Overwhelmed,655608,4.51,159330,56711,2 hours,English,Paid,Josh Paulsen,9406592,1,32,2015-11-10,2017-06-14,2899.0,449.0,All Levels,Personal Development,Personal Productivity,Yes,A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,https://www.udemy.com/course/productivity-and-time-management/,https://img-c.udemycdn.com/course/750x422/655608_270e_4.jpg
"Time Management Mastery: Do More, Stress Less",2108272,4.5,93509,37332,2 hours,English,Paid,Alexis Haselberger,61268972,1,45,2019-04-11,2022-09-28,3499.0,449.0,All Levels,Personal Development,Time Management,No,"Take control of your time, your to-do list, and your overwhelm.  Learn how to get it all done, without the stress.",https://www.udemy.com/course/do-more-stress-less/,https://img-c.udemycdn.com/course/750x422/2108272_1035_5.jpg
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,591930,4.48,210354,36215,5 hours,English,Paid,Jonathan Levi and Lev Goldentouch and Anna Goldentouch and SuperHuman Academy®,"1603568, 2334314, 2376580, 75469214",4,63,2015-12-03,2022-05-10,3499.0,449.0,All Levels,Personal Development,Speed Reading,Yes,The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,https://www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/,https://img-c.udemycdn.com/course/750x422/591930_e9a5_3.jpg
Life Coaching Certificate Course (Beginner to Intermediate),1080376,4.65,148726,35198,33.5 hours,English,Paid,Kain Ramsay and The Academy of Modern Applied Psychology,"3890126, 50670208",2,130,2017-03-11,2022-10-17,3499.0,449.0,All Levels,Personal Development,Life Coach Training,No,A comprehensive online training that delivers in-depth understanding of the key elements of the Life Coaching profession,https://www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/,https://img-c.udemycdn.com/course/750x422/1080376_3647_10.jpg
Storytelling to Influence,941752,4.4,51319,24438,1 hour,English,Paid,Jeff Tan,21198036,1,24,2016-09-02,2016-12-19,2599.0,449.0,All Levels,Personal Development,Storytelling,No,How to use stories to influence decision makers in the audience!,https://www.udemy.com/course/storytellingtoinfluence/,https://img-c.udemycdn.com/course/750x422/941752_d931_5.jpg
Neuro-Linguistic Programming (NLP) Practitioner Certificate,1336872,4.54,129302,23498,42 hours,English,Paid,Kain Ramsay and The Academy of Modern Applied Psychology,"3890126, 50670208",2,155,2017-10-09,2022-10-17,3499.0,449.0,All Levels,Personal Development,Neuro-Linguistic Programming,Yes,Gain an in-depth understanding of Neuro-Linguistic Programming (NLP) for personal growth and professional excellence.,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-online-course/,https://img-c.udemycdn.com/course/750x422/1336872_db4d_7.jpg
Psychology of Diversity and Unconscious Bias,1210442,4.53,47232,22437,2.5 hours,English,Paid,"Andrew Luttrell, Ph.D.",12056666,1,33,2017-05-16,2021-10-21,3299.0,449.0,All Levels,Personal Development,Diversity and Inclusion,Yes,"Understand Stereotypes, Prejudice, and Discrimination and How to Reduce Their Influence at Work and Your Community",https://www.udemy.com/course/psychology-diversity-unconscious-bias-discrimination/,https://img-c.udemycdn.com/course/750x422/1210442_2432.jpg
Customer Service: Soft Skills Fundamentals,1436164,4.44,56380,22083,40 mins,English,Paid,Samara Wenten,36775572,1,22,2017-12-07,2017-12-13,799.0,449.0,Beginner Level,Personal Development,Customer Service,Yes,How to keep your head when everyone else is losing theirs,https://www.udemy.com/course/customer-service-soft-skills-fundamentals/,https://img-c.udemycdn.com/course/750x422/1436164_3b76_2.jpg
Effective Email Communication: Enhancing Your Voice at Work,1432454,4.29,52870,21289,37 mins,English,Paid,Anonymized User and Nikki Woodford,"32892040, 32741038",2,11,2018-01-03,2017-12-26,1699.0,449.0,Beginner Level,Personal Development,Email Writing and Etiquette,No,Improving the Clarity and Effectiveness of Digital Communication,https://www.udemy.com/course/effective-email-communication/,https://img-c.udemycdn.com/course/750x422/1432454_926b_4.jpg
Stress Management: 40+ easy ways to deal with stress,466736,4.51,62490,20090,1 hour,English,Paid,Gregory Caremans - Brain Academy,7010472,1,20,2015-07-08,2022-03-05,3399.0,449.0,Beginner Level,Personal Development,Stress Management,Yes,"Stress relief and burnout prevention. Don't let stress control your life. Beat anxiety and worries. Live, Laugh, Love.",https://www.udemy.com/course/stress-management-40-easy-ways-to-deal-with-stress/,https://img-c.udemycdn.com/course/750x422/466736_d5f4_6.jpg
