course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Photography Masterclass: A Complete Guide to Photography,1462428,4.75,313596,61725,27.5 hours,English,Paid,Phil Ebiner and William Carnahan and Video School and Sam Shimizu-Jones,"317821, 14267432, 19701574, 10228478",4,375,2018-04-18,2022-10-18,799.0,449.0,All Levels,Photography & Video,Photography,Yes,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,https://img-c.udemycdn.com/course/750x422/1462428_639f_8.jpg
Adobe Premiere Pro CC Masterclass: Video Editing in Premiere,926512,4.69,438606,32897,25 hours,English,Paid,Phil Ebiner and Video School,"317821, 19701574",2,275,2016-10-19,2022-08-06,799.0,449.0,All Levels,Photography & Video,Adobe Premiere,Yes,"Learn Beginner-Advanced Adobe Premiere Pro Video Editing, Audio Editing, Color Grading, Motion Graphics, Green Screen+",https://www.udemy.com/course/adobe-premiere-pro-video-editing/,https://img-c.udemycdn.com/course/750x422/926512_6fdf_8.jpg
iPhone Photography | Take Professional Photos On Your iPhone,1392122,4.63,66981,21814,1.5 hours,English,Paid,Dale McManus,37232048,1,27,2017-11-10,2021-03-11,2299.0,449.0,Beginner Level,Photography & Video,iPhone Photography,Yes,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,https://www.udemy.com/course/iphonephotography/,https://img-c.udemycdn.com/course/750x422/1392122_6c4c_3.jpg
"Video Production Bootcamp: Videography, Cinematography+",1027180,4.52,168366,9112,9 hours,English,Paid,Phil Ebiner and William Carnahan and Sam Shimizu-Jones and Video School,"317821, 14267432, 10228478, 19701574",4,76,2016-12-22,2022-08-06,799.0,449.0,Beginner Level,Photography & Video,Video Production,Yes,"Make better videos with the ultimate course on videography: video production, cinematography, editing & distribution.",https://www.udemy.com/course/video-production-bootcamp/,https://img-c.udemycdn.com/course/750x422/1027180_475e_6.jpg
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,926234,4.52,60789,7098,10.5 hours,English,Paid,Phil Ebiner and PhotoLexa Master Photographer and Video School,"317821, 7969346, 19701574",3,104,2016-09-06,2022-11-06,3499.0,449.0,All Levels,Photography & Video,Adobe Lightroom,No,"Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!",https://www.udemy.com/course/adobe-lightroom/,https://img-c.udemycdn.com/course/750x422/926234_4a1a_3.jpg
Beginner Nikon Digital SLR (DSLR) Photography,138374,4.59,30748,6569,1 hour,English,Paid,JP Teaches Photo .,332267,1,7,2013-12-27,2013-12-28,1299.0,449.0,Beginner Level,Photography & Video,Digital Camera Functionality,Yes,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,https://www.udemy.com/course/jp-nikon-dslr-for-beginners/,https://img-c.udemycdn.com/course/750x422/138374_4359_5.jpg
Video Editing in DaVinci Resolve 18/17: Beginner to Advanced,1390206,4.58,32835,6273,11.5 hours,English,Paid,Louay Zambarakji,15601054,1,213,2018-11-04,2022-08-31,3499.0,449.0,All Levels,Photography & Video,DaVinci Resolve,Yes,Learn Video Editing in DaVinci Resolve with Color Correction & Color Grading & Visual Effects in DaVinci Resolve,https://www.udemy.com/course/davinci-resolve-15-course/,https://img-c.udemycdn.com/course/750x422/1390206_97cb_15.jpg
Adobe Photoshop Complete Mastery Course Beginner to Advanced,2145494,4.49,109485,6126,6 hours,English,Paid,Steve McDonald,615874,1,41,2019-01-31,2021-10-28,3099.0,449.0,Beginner Level,Photography & Video,Photoshop,No,"Learn Photoshop quickly & easily. Master beginning Adobe Photoshop - from basics to advanced levels (PC, Mac, CS6, CC)",https://www.udemy.com/course/photoshop-basics-for-beginners-learn-adobe-photoshop/,https://img-c.udemycdn.com/course/750x422/2145494_09d1_7.jpg
Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,1699008,4.6,183488,4995,19 hours,English,Paid,Phil Ebiner and Video School,"317821, 19701574",2,135,2018-06-20,2022-10-25,799.0,449.0,All Levels,Photography & Video,Adobe Lightroom,Yes,Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,https://www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/,https://img-c.udemycdn.com/course/750x422/1699008_051e_8.jpg
Complete Filmmaker Guide: Become an Incredible Video Creator,1110904,4.22,51439,4512,5.5 hours,English,Paid,Julian Melanson,25772334,1,116,2017-02-15,2021-11-02,3499.0,449.0,Beginner Level,Photography & Video,Video Production,Yes,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,https://www.udemy.com/course/incrediblevideocreator/,https://img-c.udemycdn.com/course/750x422/1110904_66f5_8.jpg
