course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
IELTS Band 7+ Complete Prep Course,684272,4.56,171680,35183,90 hours,English,Paid,"Keino Campbell, Esq.",403134,1,448,2016-08-10,2022-10-12,4299.0,799.0,All Levels,Teaching & Academics,IELTS,Yes,Major Keys to Success,https://www.udemy.com/course/ielts-band-7-preparation-course/,https://img-b.udemycdn.com/course/750x422/684272_10c0_5.jpg
Spanish for Beginners. The Complete Spanish Course. LEVEL 1.,1325716,4.77,93124,23920,4 hours,English,Paid,Peter Hanley,30527672,1,48,2017-08-21,2022-11-08,799.0,449.0,Beginner Level,Teaching & Academics,Spanish Language,No,"Learn Spanish with the complete, non-stop SPEAKING method, in a matter of weeks, not years.",https://www.udemy.com/course/el-metodo-spanish-1/,https://img-b.udemycdn.com/course/750x422/1325716_79de_22.jpg
English Grammar Launch: Upgrade your speaking and listening,1008166,4.63,115261,23860,8 hours,English,Paid,Anthony Kelleher,8910694,1,78,2016-11-20,2022-02-04,1699.0,449.0,Intermediate Level,Teaching & Academics,English Grammar,No,"Learn English grammar through lectures and listening and speaking practice, so you can confidently speak English.",https://www.udemy.com/course/learn-english-grammar-upgrade-your-speaking-and-listening/,https://img-b.udemycdn.com/course/750x422/1008166_b09b.jpg
Master Cognitive Biases and Improve Your Critical Thinking,815474,4.57,42518,16791,2.5 hours,English,Paid,Kevin deLaplante,334353,1,50,2016-05-12,2018-09-08,3299.0,449.0,All Levels,Teaching & Academics,Critical Thinking,No,Upgrade Your Mindware! Master Cognitive Biases and Learn New Strategies to Improve the Quality of Your Thinking,https://www.udemy.com/course/upgrade-your-mindware/,https://img-b.udemycdn.com/course/750x422/815474_00e2.jpg
English for Beginners: Intensive Spoken English Course,1526882,4.42,68907,15289,77 hours,English,Paid,Logus Online,43210610,1,63,2018-02-15,2022-05-18,3499.0,449.0,Beginner Level,Teaching & Academics,English Language,Yes,"English speaking course. 77 Hours of English language speaking, English listening practice. 1000 English language words",https://www.udemy.com/course/complete-intensive-english-course-for-beginners/,https://img-b.udemycdn.com/course/750x422/1526882_ea81_43.jpg
3 Minute French - Course 1 | Language lessons for beginners,949846,4.67,61929,14835,6 hours,English,Paid,Kieran Ball,20021860,1,133,2016-09-05,2022-11-03,3499.0,449.0,Beginner Level,Teaching & Academics,French Language,No,Learn to speak French you can use in everyday real-world situations - all in just 3-minute chunks!,https://www.udemy.com/course/3-minute-french-full-course-1/,https://img-b.udemycdn.com/course/750x422/949846_23f1_2.jpg
Learn German Language: Complete German Course - Beginners,1030682,4.37,83727,13711,17 hours,English,Paid,AbcEdu Online,23835596,1,61,2017-04-12,2021-05-21,799.0,449.0,All Levels,Teaching & Academics,German Language,No,"Learn German with a Native Teacher. Complete Course - German for Beginners (A1,A2,A2+) German Grammar, German Vocabulary",https://www.udemy.com/course/german-course-for-beginners-learn-german/,https://img-b.udemycdn.com/course/750x422/1030682_5949_7.jpg
Building Your English Brain,834702,4.59,48040,13248,3 hours,English,Paid,Luke Priddy,22274190,1,15,2016-06-06,2016-06-15,1699.0,449.0,All Levels,Teaching & Academics,English Language,No,Learn to start thinking in English so that you can stop translating in your head and become fluent in English faster.,https://www.udemy.com/course/building-your-english-brain/,https://img-b.udemycdn.com/course/750x422/834702_d56e_8.jpg
Mastering IELTS Writing: Task 2 (Achieve Band 7+ in 7 Hours),257626,4.7,48002,10058,7.5 hours,English,Paid,The IELTS Teacher,6394076,1,36,2016-05-23,2022-10-24,3399.0,649.0,All Levels,Teaching & Academics,IELTS,No,Complete preparation to achieve the band score you need in IELTS Writing Task 2 (Academic and General Training).,https://www.udemy.com/course/mastering-ielts-writing-task-2/,https://img-b.udemycdn.com/course/750x422/257626_b89a_7.jpg
spring Framework for Beginners with Spring Boot,2167814,4.39,85885,9922,5.5 hours,English,Paid,Navin Reddy,7955336,1,66,2019-06-21,2019-09-03,3499.0,449.0,Beginner Level,Teaching & Academics,Spring Framework,Yes,"In this course, you will learn the highly demanded frameworks of enterprise world:  Spring Framework 5 with Spring Boot",https://www.udemy.com/course/spring-5-with-spring-boot-2/,https://img-b.udemycdn.com/course/750x422/2167814_a0e6_3.jpg
